URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,33,-6,1.444444391,0.049632353,17.69230769,0.106048053,7.119342298,17.69230769,128,1207,1.609809663,12,4.244509517
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,58,-31,3.296296174,0.035386632,21.225,0.117403315,8.536961326,21.225,170,1448,1.848645465,6,4.877502945
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,38,-24,4.428571112,0.023333333,21.52631579,0.133333333,8.663859649,21.52631579,140,1050,2.050529747,13,5.491442543
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,36,-75,-2.846153919,-0.065108514,23.61538462,0.115678776,9.492425357,23.61538462,121,1046,1.94521668,5,5.324611611
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,22,-8,2.14285699,0.039325843,19.76923077,0.133928571,7.961263736,19.76923077,90,672,1.874189364,6,5.084306096
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,86,-26,1.866666636,0.057197331,23.78409091,0.118362832,9.560981496,23.78409091,214,1808,2.011516315,6,5.409309021
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,31,-70,-2.589743656,-0.057522124,19.63157895,0.106697819,7.895310707,19.63157895,137,1284,1.784656797,1,4.815612382
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,29,-9,1.899999905,0.04454343,18.64583333,0.114597544,7.504172351,18.64583333,84,733,2.115384615,3,5.647058824
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,38,-51,-6.846154373,-0.022530329,19.61403509,0.119483315,7.893407361,19.61403509,111,929,2.055855856,3,5.573873874
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,136,-181,-7.044444601,-0.025906736,17.51680672,0.135098253,7.06076199,17.51680672,495,3664,1.817111271,13,4.888488344
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,60,-20,1.99999995,0.051085568,24,0.13148543,9.652594172,24,185,1407,1.980625,3,5.33375
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,80,-24,1.857142824,0.066115702,23.2375,0.155836342,9.357334537,23.2375,259,1662,2.003227542,2,5.142549758
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,-13,2.039999918,0.090909091,26.92,0.141430948,10.82457238,26.92,85,601,1.989598811,3,5.12332838
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,21,-27,-8.000001333,-0.01183432,17.72463768,0.165867689,7.156202148,17.72463768,173,1043,1.78951679,3,4.841932842
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,35,-27,7.749999031,0.012903226,23.05,0.125415282,9.270166113,23.05,151,1204,1.883586406,7,5.055676067
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,35,-27,7.749999031,0.012903226,23.05,0.125415282,9.270166113,23.05,151,1204,1.883586406,7,5.055676067
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,48,-12,1.66666662,0.060708263,20.16923077,0.141732283,8.124385221,20.16923077,162,1143,1.853975535,5,5.010703364
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,33,-10,1.869565136,0.044230769,27.2,0.132874016,10.93314961,27.2,135,1016,1.871732026,1,5.008169935
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,61,-6,1.218181796,0.065088757,20.62105263,0.113872832,8.293970186,20.62105263,197,1730,1.811128127,5,4.844308321
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,8,0,0.999999875,0.037558685,23.65384615,0.174311927,9.531263232,23.65384615,95,545,1.648780488,1,4.575609756
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,22,-46,-2.833333451,-0.045801527,23.46,0.115686275,9.43027451,23.46,118,1020,1.89258312,6,5.015345269
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,13,-10,7.666664111,0.016483516,17.62962963,0.132701422,7.104932421,17.62962963,56,422,1.714285714,6,4.592436975
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,28,-16,3.666666361,0.018662519,23.921875,0.133234641,9.622043856,23.921875,180,1351,1.760130719,7,4.628104575
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,23,-3,1.299999935,0.072202166,30.47619048,0.145488029,12.2486714,30.47619048,79,543,1.789968652,1,4.833855799
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,19,-11,3.749999531,0.01814059,45.15384615,0.120040692,18.10955474,45.15384615,118,983,1.602903501,6,4.390264731
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,23,-14,4.111110654,0.019911504,24.90243902,0.131147541,10.01343463,24.90243902,112,854,1.744368266,2,4.726738492
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,24,-26,-25.0000125,-0.003724395,28.01886792,0.092807425,11.24467014,28.01886792,120,1293,1.620689655,27,4.315753888
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,32,-25,8.14285598,0.013806706,32.33333333,0.119544592,12.98115117,32.33333333,126,1054,1.783611774,10,4.870326173
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,66,-34,3.124999902,0.032128514,26.24675325,0.108474576,10.54209113,26.24675325,192,1770,1.942602672,1,5.161306284
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,60,-37,4.217391121,0.038397329,20.6375,0.140835103,8.311334041,20.6375,199,1413,1.618787879,7,4.311515152
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,66,-36,3.399999887,0.034482759,22.65882353,0.135831382,9.117861964,22.65882353,232,1708,1.875389408,3,4.914849429
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,69,-28,2.365853601,0.058404558,19.37894737,0.119804401,7.799500708,19.37894737,196,1636,1.700162955,18,4.433460076
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,59,-25,2.470588163,0.043037975,25.16455696,0.10832848,10.10915418,25.16455696,186,1717,1.70221328,16,4.616700201
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45,-23,3.09090895,0.038062284,23.4375,0.113513514,9.420405405,23.4375,147,1295,1.679572764,21,4.510680908
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,26,-12,2.71428552,0.040697674,18.88888889,0.103163686,7.59682103,18.88888889,75,727,1.689411765,7,4.574117647
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38,-13,2.039999918,0.074183976,23.05555556,0.103825137,9.263752277,23.05555556,76,732,1.641737033,2,4.398069964
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,67,-41,4.153845994,0.026970954,29.9382716,0.127340824,12.02624497,29.9382716,272,2136,1.749587459,11,4.513613861
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,50,-68,-6.55555592,-0.018367347,23.13461538,0.092871486,9.290994748,23.13461538,185,1992,1.642560266,1,4.412302577
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,35,-22,4.384615047,0.021381579,22.70689655,0.112605042,9.127800637,22.70689655,134,1190,1.937737282,10,5.111617312
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,31,-29,29.999985,0.003311258,17.52439024,0.129720854,7.061644439,17.52439024,158,1218,1.681786462,6,4.479413817
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,63,-24,2.230769174,0.058558558,29.3968254,0.134488942,11.81252574,29.3968254,225,1673,1.760799136,33,4.584233261
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,74,-24,1.959999961,0.06377551,22.63855422,0.11616472,9.101887575,22.63855422,189,1627,1.755863539,11,4.614605544
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,26,0,0.999999962,0.098113207,26.04545455,0.129482072,10.46997465,26.04545455,65,502,1.921465969,0,4.982547993
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,79,-39,2.949999926,0.054869684,211.5555556,0.126309983,84.67274622,211.5555556,229,1813,1.765231092,16,4.601365546
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,27,0,0.999999963,0.05720339,19.44642857,0.106360792,7.821115746,19.44642857,102,959,1.77594123,0,4.714416896
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,-6,2.499999688,0.021978022,20.29268293,0.117647059,8.164131994,20.29268293,84,714,1.824308063,1,4.948255114
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,-4,-7.000007,-0.006802721,30.16666667,0.173501577,12.1360673,30.16666667,55,317,1.82320442,2,4.944751381
